Week,Day,Date,,,,OT,sf_rec,opp_rec,,Opp,score_tm,score_opp,offense_1stD,offense_totYd,offense_passY,offense_rushY,offense_to,defense_1stD,defense_totYd,defence_passY,defense_rushY,defense_to,ep_offense,ep_defense,ep_sp_Tms
1,Sun,Sep-12,1:00PM ET,boxscore,W,,1,0,@,Detroit Lions,41,33,21,442,311,131,2,31,430,314,116,1,15.48,-5.16,-1.73
2,Sun,Sep-19,1:00PM ET,boxscore,W,,2,0,@,Philadelphia Eagles,17,11,23,306,189,117,,18,328,177,151,,7.86,-5.3,2.68
3,Sun,Sep-26,8:20PM ET,boxscore,L,,2,1,,Green Bay Packers,28,30,26,298,231,67,2,21,353,253,100,,12.19,-15.14,0.95
4,Sun,Oct-03,4:05PM ET,boxscore,L,,2,2,,Seattle Seahawks,21,28,23,457,314,143,2,14,234,129,105,,8.61,-2.2,-14.31
5,Sun,Oct-10,4:25PM ET,boxscore,L,,2,3,@,Arizona Cardinals,10,17,19,338,186,152,1,20,304,210,94,1,-6.53,-1.74,-0.47
7,Sun,Oct-24,8:20PM ET,boxscore,L,,2,4,,Indianapolis Colts,18,30,13,280,169,111,4,17,295,147,148,2,-15.3,-1.16,4.24
8,Sun,Oct-31,1:00PM ET,boxscore,W,,3,4,@,Chicago Bears,33,22,21,467,322,145,,22,324,148,176,1,21.75,-9.87,-2.14
9,Sun,Nov-07,4:25PM ET,boxscore,L,,3,5,,Arizona Cardinals,17,31,22,337,298,39,3,22,437,274,163,,2.1,-17.45,2.39
10,Mon,Nov-15,8:15PM ET,boxscore,W,,4,5,,Los Angeles Rams,31,10,20,335,179,156,,16,278,226,52,2,11.33,7.18,0.7
11,Sun,Nov-21,1:00PM ET,boxscore,W,,5,5,@,Jacksonville Jaguars,30,10,25,333,162,171,,14,200,146,54,2,17.86,1.83,0.08
12,Sun,Nov-28,4:25PM ET,boxscore,W,,6,5,,Minnesota Vikings,34,26,23,423,215,208,1,17,323,256,67,2,8.93,4.16,-6.1
13,Sun,Dec-05,4:00PM ET,boxscore,L,,6,6,@,Seattle Seahawks,23,30,17,365,294,71,3,21,327,181,146,3,-0.51,0.01,-3.44
14,Sun,Dec-12,1:00PM ET,boxscore,W,OT,7,6,@,Cincinnati Bengals,26,23,21,355,255,100,,22,397,311,86,2,4.6,-11.63,10.68
15,Sun,Dec-19,4:05PM ET,boxscore,W,,8,6,,Atlanta Falcons,31,13,23,397,235,162,1,13,275,213,62,1,20.53,9.41,-11.46
16,Thu,Dec-23,8:20PM ET,boxscore,L,,8,7,@,Tennessee Titans,17,20,22,389,306,83,2,16,278,188,90,,5.48,-2.96,-2.72
17,Sun,Jan-02,4:05PM ET,boxscore,W,,9,7,,Houston Texans,23,7,19,416,241,175,1,15,222,136,86,1,5.7,7.88,0.16
18,Sun,Jan-09,4:25PM ET,boxscore,W,OT,10,7,@,Los Angeles Rams,27,24,23,449,314,135,2,19,265,201,64,2,15.33,-8.42,-3.91
